scientific_name,iucn_status,family,habitat
Bucorvus abyssinicus,Vulnerable (VU),Bucorvidae,Savanna; sub-desert scrub; rocky areas; grasslands; and agricultural areas
Asio abyssinicus,Least Concern (LC),Strigidae,Open grasslands; moorlands; montane forests; mountain valleys; and gorges up to 3900 m
Stephanoaetus coronatus,Near Threatened (NT),Accipitridae,Forests; woodlands; savanna; shrubland; plantations; and urban greenspaces
Haliaeetus vocifer,Least Concern (LC),Accipitridae,Bodies of water: rivers; lakes; floodplains; coasts; estuaries; mangrove lagoons; and swamps
Strix woodfordii,Least Concern (LC),Strigidae,Forest; woodland; plantations; gardens; coastal and riparian forests
Terpsiphone incei,Least Concern (LC),Monarchidae,Broadleaf lowland and hill forests; also more open habitats during migration and winter
Chrysococcyx maculatus,Least Concern (LC),Cuculidae,Subtropical/tropical moist lowland and montane forests
Hieraaetus ayresii,Least Concern (LC),Accipitridae,Thick woodland; forest; riparian forest; and forest patches
Sibirionetta formosa,Least Concern (LC),Anatidae,Breeds in marshy woods and tundra; winters in marshes; estuaries; freshwater lakes; and rivers
Chrysophlegma miniaceum,Least Concern (LC),Picidae,Primary rainforest; secondary forest; plantations; mangroves; parks; wooded suburbs; and gardens
Tyto alba,Least Concern (LC),Tytonidae,Open habitats: grasslands; deserts; marshes; agricultural fields; and farmlands
Gypaetus barbatus,Near Threatened (NT),Accipitridae,High mountainous regions; cliffs; precipices; gorges; and open areas like grasslands and meadows
Heterophasia pulchella,Least Concern (LC),Leiothrichidae,Subtropical/tropical moist montane forest; evergreen broadleaf forest; and thickets
Cinnyris pulchellus,Least Concern (LC),Nectariniidae,Savanna; woodland; semi-arid/dry forest; thickets; wooded grassland; riparian areas; and gardens
Oriolus consanguineus,Least Concern (LC),Oriolidae,Subtropical/tropical moist lowland and montane forest; primary forest with mossy growth
Cymbirhynchus macrorhynchos,Least Concern (LC),Eurylaimidae,Lowland forests near water; mangroves; freshwater swamp forests; secondary forests; and plantations
Eurylaimus ochromalus,Near Threatened (NT),Eurylaimidae,Evergreen forest; dipterocarp forest; swamp forest; heath forest; forest edge; secondary forest; and plantations
Ceyx erithaca,Near Threatened (NT),Alcedinidae,Lowland forests near streams/ponds; gardens; parks; wooded areas; and mangroves
Aviceda leuphotes,Least Concern (LC),Accipitridae,Forests; woodland; cultivated areas; and open country
Nycticorax nycticorax,Least Concern (LC),Ardeidae,Wetlands: swamps; shallow lakes; ponds; lagoons; rivers; and streams
Erythropitta ussheri,Near Threatened (NT),Pittidae,Dense primary forest; secondary to heavily logged forest; below 500 m
Anthracoceros malayanus,Vulnerable (VU),Bucerotidae,Lowland mature forests; forest edge; secondary growth; and wooded areas
Milvus migrans,Least Concern (LC),Accipitridae,Open areas near water: grasslands; shrubs; wetlands; urban areas; coastal areas; and forests
Pterorhinus courtoisi,Critically Endangered (CR),Leiothrichidae,Mixed evergreen-deciduous forests; forest patches; and trees near human settlements
Phoenicurus frontalis,Least Concern (LC),Muscicapidae,Brusy open subalpine areas; winters in foothills in scrubby areas; field edges; and gardens
Monticola solitarius,Least Concern (LC),Muscicapidae,Rocky areas: cliffs; gorges; ruins; mountains; coasts; and urban areas
Hydrornis schwaneri,Least Concern (LC),Pittidae,Hill and lowland dipterocarp forests; dry ridges; hilltops; limestone areas; and secondary forest
Pityriasis gymnocephala,Near Threatened (NT),Pityriasidae,Primary dipterocarp forest; peatswamp forest; lowland rainforests
Polyplectron schleiermacheri,Endangered (EN),Phasianidae,Primary lowland and hill forest; dipterocarp forest; favoring areas with ridges
Brachypteryx erythrogyna,Least Concern (LC),Muscicapidae,Montane rainforest floor and undergrowth
Urosphena whiteheadi,Least Concern (LC),Cettiidae,Forest floors and undergrowth in montane forests at 750–3150 m
Dendrocitta cinerascens,Least Concern (LC),Corvidae,Forest; forest edge; bamboo thickets; scrubland; and cultivated areas
Myophonus borneensis,Least Concern (LC),Muscicapidae,Subtropical/tropical moist montane forests; rocky streams and gullies in mountains
Haliastur indus,Least Concern (LC),Accipitridae,Coastal areas; mangroves; estuaries; wetlands; rivers; forests; and urban areas
Ninox scutulata,Least Concern (LC),Strigidae,Well-wooded country; forest; wooded parks; plantations; and mangroves
Ketupa zeylonensis,Least Concern (LC),Strigidae,Deciduous; semi-deciduous; and open evergreen woodland near water; ravines; plantations
Fulvetta ludlowi,Least Concern (LC),Paradoxornithidae,High-elevation montane forests; dense lower vegetation; bamboo stands; and rhododendron thickets
Ketupa ketupu,Least Concern (LC),Strigidae,Woody areas near water; mangroves; paddy fields; freshwater wetlands; and forest edges
Bubo capensis,Least Concern (LC),Strigidae,Mountainous/hilly regions with rocks; adjacent woodlands; grasslands; shrublands; and savanna
Nisaetus cirrhatus,Least Concern (LC),Accipitridae,Forests; forest edges; parks; plantations; and wooded areas
Phaenicophaeus curvirostris,Least Concern (LC),Cuculidae,Subtropical/tropical moist lowland forests; mangrove forests; secondary growth; and plantations
Cettia castaneocoronata,Least Concern (LC),Cettiidae,Montane and hill forests; densely vegetated wet/damp areas near streams and gullies
Sitta nagaensis,Least Concern (LC),Sittidae,Subtropical evergreen broadleaf forest; coniferous forest; mixed forest; and pine/oak/rhododendron forests
Thalasseus bernsteini,Critically Endangered (CR),Laridae,Subtropical coastlines; offshore islands; tidal mudflats; and pelagic waters
Naemorhedus griseus,Vulnerable (VU),Bovidae,Steep; rocky terrain in forests; open habitats at 1000–4400 m; coniferous and mixed forests
Garrulax canorus,Least Concern (LC),Leiothrichidae,Forests in mountain areas; bushes; bamboo woods; secondary forest; parks; and gardens
Accipiter soloensis,Least Concern (LC),Accipitridae,Mountain forests; forest edges; lowland hills; and open areas
Turdus mupinensis,Least Concern (LC),Turdidae,Temperate forests; subtropical/tropical moist montane forests; mixed forest; and forest edge
Todiramphus chloris,Least Concern (LC),Alcedinidae,Coastal areas; mangroves; open woodlands; grasslands; gardens; parks; and wetlands
Phalacrocorax carbo,Least Concern (LC),Phalacrocoracidae,Fresh and salt waters: lakes; marshes; rivers; coasts; lagoons; swamps; and estuaries
Falco tinnunculus,Least Concern (LC),Falconidae,Open grassy fields; farmlands; cities; moorland; heathland; grassland; and savanna
Mergus merganser,Least Concern (LC),Anatidae,Wooded areas along streams/rivers; inland lakes; coastal streams; and large lakes/rivers
Spilornis cheela,Least Concern (LC),Accipitridae,Forest edges; dry/wet forests; tea plantations; wooded savannas; mangroves; and gardens
Haematortyx sanguiniceps,Least Concern (LC),Phasianidae,Subtropical/tropical moist lowland and montane forests; lower montane forest
Carpodacus edwardsii,Least Concern (LC),Fringillidae,Subtropical evergreen broadleaf forest; mixed forest; coniferous forest; alpine meadows; and shrubland
Eumyias sordidus,Near Threatened (NT),Muscicapidae,Well-wooded areas; forest edges; shady gardens; dense wet montane forest; and cloud forest
Corydon sumatranus,Least Concern (LC),Eurylaimidae,Subtropical/tropical moist lowland; swamp; and montane forests; plantations
Neophron percnopterus,Endangered (EN),Accipitridae,Semi-arid/arid regions; open landscapes; cliffs; mountainous areas; steppes; savannahs; and plains
Falco subbuteo,Least Concern (LC),Falconidae,Open woodland; parks; agricultural country; downlands; heaths; and areas near water
Glaucidium passerinum,Least Concern (LC),Strigidae,Mature fir-dominant forest; pine woods; mixed forest; and boreal forests
Accipiter nisus,Least Concern (LC),Accipitridae,Wooded areas near open hunting grounds; parks; agricultural fields; conifers; and mixed woodlands
Erithacus rubecula,Least Concern (LC),Muscicapidae,Deciduous moist forest with undergrowth; parks; gardens; and wooded habitats
Myzornis pyrrhoura,Least Concern (LC),Paradoxornithidae,Subtropical/tropical moist montane forests; bamboo thickets; and rhododendron scrub
Pericrocotus igneus,Near Threatened (NT),Campephagidae,Broadleaved forest; forest edges; mature secondary growth; dry coastal forest; and mangroves
Lioparus chrysotis,Least Concern (LC),Paradoxornithidae,Subtropical/tropical moist montane forests; broadleaf/mixed/coniferous forest; and scrub
Psilopogon pulcherrimus,Least Concern (LC),Megalaimidae,Subtropical/tropical moist lowland and montane forest from 1,000–3,100 m
Suthora verreauxi,Least Concern (LC),Paradoxornithidae,Subtropical/tropical moist montane forests; bamboo thickets; and scrub
Podiceps cristatus,Least Concern (LC),Podicipedidae,Lakes; reservoirs; slow flowing rivers; swamps; bays; lagoons; and estuaries
Strix nebulosa,Least Concern (LC),Strigidae,Dense coniferous forests; mixed forests; bogs; meadows; and open areas near forests
Ficedula elisae,Least Concern (LC),Muscicapidae,Mountain broadleaf/mixed forest; forest edge; parks; gardens; and wooded areas
Aethopyga nipalensis,Least Concern (LC),Nectariniidae,Temperate forests; subtropical/tropical moist montane forests; open woodland; forest edge; and gardens
Culicicapa ceylonensis,Least Concern (LC),Stenostiridae,Evergreen/deciduous broadleaf forest; bamboo; mixed forest; forest edge; and streamsides
Erythrogenys swinhoei,Least Concern (LC),Timaliidae,Subtropical/tropical moist lowland forest; scrub; and montane forest
Gyps himalayensis,Near Threatened (NT),Accipitridae,Mountainous terrain of the Tibetan plateau; cliffs; rocky ledges; at 600–4500 m
Phoenicurus hodgsoni,Least Concern (LC),Muscicapidae,Hilly/montane open forests; forest edge; scrubby edge; valleys; meadows; and coniferous forest
Calyptomena hosii,Least Concern (LC),Calyptomenidae,Hill and submontane mixed dipterocarp forests at 600–1220 m
Otus bakkamoena,Least Concern (LC),Strigidae,Forests; fields; orchards; villages; parks; gardens; and urban areas
Eumyias indigo,Least Concern (LC),Muscicapidae,Tropical moist submontane montane forests between 900–3000 m
Accipiter gularis,Least Concern (LC),Accipitridae,Mountain coniferous/mixed forest; forest edge; deciduous/coniferous/riparian woodland
Glaucidium radiatum,Least Concern (LC),Strigidae,Scrub forest; deciduous/moist deciduous forests; densely wooded lowlands and foothills
Phylloscopus ogilviegranti,Least Concern (LC),Phylloscopidae,Temperate forests; subtropical/tropical moist lowland and montane forests
Lophaetus occipitalis,Least Concern (LC),Accipitridae,Woodland; plantations; open forest; forest edges; and moist areas near water
Asio otus,Least Concern (LC),Strigidae,Dense vegetation near grasslands; open forests; shrublands; coniferous woodland; and tall scrub
Pericrocotus ethologus,Least Concern (LC),Campephagidae,Broadleaf; mixed; and coniferous forests from low to middle elevations
Caprimulgus climacurus,Least Concern (LC),Caprimulgidae,Savanna; open habitats; arid semi-deserts; shrubland; and dry woodland
Napothera crassa,Least Concern (LC),Pellorneidae,Subtropical/tropical moist lowland and montane forests; broadleaf evergreen forest
Ninox japonica,Least Concern (LC),Strigidae,Deciduous/mixed forests; urban areas; broadleaf/coniferous forest; and wooded parks
Surnia ulula,Least Concern (LC),Strigidae,Dense coniferous or mixed forests adjoining open areas; pine forest; birch woodland; and tundra edges
Merops nubicus,Least Concern (LC),Meropidae,African savannah habitats; deserts; woodlands; river flood-plains; and open grasslands
Phodilus badius,Least Concern (LC),Tytonidae,Mountain evergreen broadleaf/coniferous forest; secondary forest; mangroves; and lowland moist forest
Eurystomus orientalis,Least Concern (LC),Coraciidae,Open woodland; forest edges; parks; gardens; mangroves; and riverine habitats
Anthracoceros albirostris,Least Concern (LC),Bucerotidae,Tropical/subtropical evergreen broadleaf forest edges; open woodlands; and cultivated areas
Alophoixus ruficrissus,Least Concern (LC),Pycnonotidae,Lowland and montane forests; primary/well-aged secondary growth; mid-storey of rainforests
Microhierax melanoleucos,Least Concern (LC),Falconidae,Subtropical evergreen broadleaf forest; forest edges; open woodland; and wooded foothills
Ceryle rudis,Least Concern (LC),Alcedinidae,Near rivers; ponds; lakes; seashores; freshwater wetlands; and coastal waters up to 2500 m
Cinnyris bifasciatus,Least Concern (LC),Nectariniidae,Forest; woodland; scrub; savanna; coastal bush; mangroves; and riverine forest
Syrmaticus reevesii,Vulnerable (VU),Phasianidae,Evergreen forests; open woodland; mixed forest; and hilly/mountainous areas at 300–1800 m
Buceros rhinoceros,Vulnerable (VU),Bucerotidae,Primary lowland rainforests; hill dipterocarp forests; swamp forests; and mountain forests
Periparus rubidiventris,Least Concern (LC),Paridae,Mid-to-high elevation mixed/coniferous forest; bamboo; alpine scrub; and forest edge
Tropicoperdix graydoni,Near Threatened (NT),Phasianidae,Tropical lowland rainforest; primary lowland forests; and plantations below 500 m
Pnoepyga albiventer,Least Concern (LC),Pnoepygidae,Subtropical moist montane forest; dark/damp areas near streams; ravines; and boulders
Otus thilohoffmanni,Endangered (EN),Strigidae,Humid rainforests in the lowlands of Sri Lanka's Wet Zone
Lophura nycthemera,Least Concern (LC),Phasianidae,Forests; mainly in mountains; evergreen broadleaf forest; and valley rainforest
Columba leuconota,Least Concern (LC),Columbidae,High altitude rocky areas; cliffs; river valleys; and rocky slopes from 2000–5200 m
Bubo scandiacus,Vulnerable (VU),Strigidae,Arctic tundra; meadows; marshes; open grasslands; coastal areas; and agricultural fields
Urocissa ornata,Vulnerable (VU),Corvidae,Humid forest from lowlands to hills; dense wet evergreen temperate rainforest
Ocyceros gingalensis,Least Concern (LC),Bucerotidae,Evergreen forest; deciduous woodland; areas with dense climbing plants; gardens; and plantations
Pavo cristatus,Least Concern (LC),Phasianidae,Deciduous/open forest; dry semi-desert grasslands; scrub; agricultural land; and areas near water
Pomatorhinus melanurus,Least Concern (LC),Timaliidae,Subtropical/tropical moist lowland and montane forest
Copsychus leggei,Not Evaluated (NE),待确认,Forest understory; scrub; secondary forest; and densely vegetated habitats
Zoothera imbricata,Near Threatened (NT),Turdidae,Moist evergreen forest; rural gardens; parks; plantations; and wet forest understory
Zosterops ceylonensis,Least Concern (LC),Zosteropidae,Forests; gardens; plantations; mainly in highlands and montane areas
Aquila nipalensis,Endangered (EN),Accipitridae,Open plains; grasslands; deserts; steppes; savannah; and low hills
Actinodura waldeni,Least Concern (LC),Leiothrichidae,Subtropical/tropical moist montane forests; broadleaf forest; secondary forest; and alpine scrub
Calonectris leucomelas,Near Threatened (NT),Procellariidae,Pelagic; breeds on coastal and offshore islands; forages in marine waters
Yuhina gularis,Least Concern (LC),Zosteropidae,Subtropical/tropical moist montane forests; broadleaf/mixed/coniferous forest; and scrub
Aquila rapax,Vulnerable (VU),Accipitridae,Arid/semi-arid habitats: deserts; steppes; open savannah; grassland; and dry woodland
Tragopan temminckii,Least Concern (LC),Phasianidae,Mixed evergreen; bamboo; and rhododendron forests at high altitudes
Loxia leucoptera,Least Concern (LC),Fringillidae,Coniferous forest; larch plantations; spruce and tamarack stands
Strix uralensis,Least Concern (LC),Strigidae,Pine and deciduous forest; coniferous/mixed forest near open areas and marshes
Cinnyris venustus,Least Concern (LC),Nectariniidae,Open woodland; cultivation; arid thornscrub; moist savanna; gardens; and forest edge
Sittiparus varius,Least Concern (LC),Paridae,Open mixed forests; coniferous forests; bamboo forests; and broad-leaved forests
Ketupa lactea,Least Concern (LC),Strigidae,Arid savanna to mesic woodland; riverine forest; and areas with tall trees for breeding
Hieraaetus wahlbergi,Least Concern (LC),Accipitridae,Woodland; open forest; savanna; and forest edges
Nisaetus nanus,Vulnerable (VU),Accipitridae,Evergreen forests; lowlands; and lower hill-slopes; up to 1000 m
Harpactes whiteheadi,Near Threatened (NT),Trogonidae,Subtropical/tropical moist montane forests; damp well-shaded montane forest
Yuhina flavicollis,Least Concern (LC),Zosteropidae,Subtropical/tropical moist montane forests; evergreen broadleaf forest; and secondary growth
Icthyophaga leucogaster,Least Concern (LC),Accipitridae,Coastal areas; estuaries; inland waterbodies; and major waterways
Artamus leucorynchus,Least Concern (LC),Artamidae,Eucalypt forests and woodlands near water; mangroves; and open habitats
Pterorhinus sannio,Least Concern (LC),Leiothrichidae,Scrub; grassland; secondary forest; bamboo; urban parks; and gardens up to 2000 m
Pteruthius aeralatus,Least Concern (LC),Vireonidae,Broadleaf; coniferous; and rhododendron forests at 350–3050 m
Pellorneum rostratum,Near Threatened (NT),Pellorneidae,Lowland evergreen forest; secondary growth; mangroves; peatswamp forest; and wet areas
Turdus albocinctus,Least Concern (LC),Turdidae,High mountain coniferous/rhododendron forest; alpine meadows; and open forests
Haliaeetus albicilla,Least Concern (LC),Accipitridae,Sea coasts; lake shores; rivers; islands; wetlands; and estuaries
Arachnothera juliae,Least Concern (LC),Nectariniidae,Hill dipterocarp forest; primary/secondary montane forest; and forest edge at 930–3000 m
Calyptomena whiteheadi,Least Concern (LC),Calyptomenidae,Montane forests and forest edges at 900–1700 m
Cygnus cygnus,Least Concern (LC),Anatidae,Freshwater lakes; pools; marshes; bogs; swamps; coastal areas; and wetlands